avg_species_6797615	0.03125
avg_species_6806593	0.0625
avg_species_5357525	0.09375
avg_species_6797095	0.125
avg_species_6806606	0.15625
avg_species_6797012	0.1875
avg_species_6797094	0.21875
avg_species_419530	0.25
avg_species_6806565	0.28125
avg_species_6806585	0.3125
avg_species_3222171	0.34375
avg_species_6796650	0.375
avg_species_6797614	0.40625
avg_species_113582	0.4375
avg_species_6796619	0.46875
avg_species_6806560	0.5
avg_species_53491	0.53125
avg_species_6806576	0.5625
avg_species_6806574	0.59375
avg_species_6806590	0.625
avg_species_6797014	0.65625
avg_species_6796652	0.6875
avg_species_6797611	0.71875
avg_species_29358	0.75
avg_species_6806564	0.78125
avg_species_6806601	0.8125
avg_species_6797713	0.84375
avg_species_5357527	0.875
avg_species_912495	0.90625
avg_species_6797602	0.9375
avg_species_6806584	0.96875
