parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	distribution	mu	sigma	granularity
k_output_species_390495	k_output_species_390495_name	log	-20	20	0	1	normal	0	0	0
k_output_species_390457	k_output_species_390457_name	log	-20	20	0	1	normal	0	0	0
k_output_species_29370	k_output_species_29370_name	log	-20	20	0	1	normal	0	0	0
k_output_species_29372	k_output_species_29372_name	log	-20	20	0	1	normal	0	0	0
k_output_species_201861	k_output_species_201861_name	log	-20	20	0	1	normal	0	0	0
k_input_species_390445	k_input_species_390445_name	log	-20	20	0	1	normal	0	0	0
k_input_species_29438	k_input_species_29438_name	log	-20	20	0	1	normal	0	0	0
k_input_species_113592	k_input_species_113592_name	log	-20	20	0	1	normal	0	0	0
k_input_species_390476	k_input_species_390476_name	log	-20	20	0	1	normal	0	0	0
k_input_species_390501	k_input_species_390501_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_390453	k_forcat_reaction_390453_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_389961	k_forcat_reaction_389961_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_390459	k_forcat_reaction_390459_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_389980	k_forcat_reaction_389980_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_389954	k_forcat_reaction_389954_name	log	-20	20	0	1	normal	0	0	0
k_forcat_reaction_389970	k_forcat_reaction_389970_name	log	-20	20	0	1	normal	0	0	0
scale_parameter	scale_parameter_name	log	0	20	0	1	normal	0	0	0
