avg_species_1248010	0.032258
avg_species_1248004	0.064516
avg_species_1214162	0.096774
avg_species_109796	0.129032
avg_species_167679	0.161290
avg_species_1225828	0.193548
avg_species_74680	0.225806
avg_species_109783	0.258064
avg_species_1806218	0.290323
avg_species_5637703	0.322581
avg_species_1221657	0.354839
avg_species_113592	0.387097
avg_species_29438	0.419355
avg_species_5637701	0.451613
avg_species_167682	0.483871
avg_species_5637697	0.516129
avg_species_5637694	0.548387
avg_species_5637706	0.580645
avg_species_179849	0.612903
avg_species_179838	0.645161
avg_species_179856	0.677419
avg_species_5637698	0.709677
avg_species_1248654	0.741935
avg_species_109797	0.774194
avg_species_179863	0.806452
avg_species_112199	0.838710
avg_species_29420	0.870968
avg_species_29370	0.903226
avg_species_5637693	0.935484
avg_species_5637704	0.967742
