parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	distribution	mu	sigma	granularity
k_output_species_5637704	k_output_species_5637704_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_1225856	k_output_species_1225856_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_1225859	k_output_species_1225859_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_5637697	k_output_species_5637697_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_5637693	k_output_species_5637693_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_29370	k_output_species_29370_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_179838	k_output_species_179838_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_167679	k_output_species_167679_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_29420	k_output_species_29420_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_109783	k_output_species_109783_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_1500849	k_output_species_1500849_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_1226013	k_output_species_1226013_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_1500847	k_output_species_1500847_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1182966	k_input_species_1182966_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_109797	k_input_species_109797_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1225828	k_input_species_1225828_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179849	k_input_species_179849_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179856	k_input_species_179856_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1214162	k_input_species_1214162_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_29438	k_input_species_29438_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_109796	k_input_species_109796_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179863	k_input_species_179863_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_167682	k_input_species_167682_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_113595	k_input_species_113595_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1221657	k_input_species_1221657_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1806218	k_input_species_1806218_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_113592	k_input_species_113592_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1220582	k_input_species_1220582_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_112199	k_input_species_112199_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_74680	k_input_species_74680_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225960	k_forcat_reaction_1225960_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
